id,sentence,rhetoricalRole,relevance
343,"Sub-rule (5)provides that if the Labour Commissioner refuses to givehis concurrence, the management may appeal to the StateGovernment within thirty days from the date of the receipt of such refusal Sub-rule (6) provides that the Wel fare Officer upon whom the punishment of dismissal or termination of service is imposed may appeal to the State Government against the order of punishment within thirty days from the date of the receipt of the order by him.",Ruling by Present Court,0
344,The decision of the State Government under both sub-rr.,Ruling by Present Court,0
345,(5) and (6) is made final and binding.,Ruling by Present Court,1
346,Sub-rule (7) empowers the State Government to pass such interim orders as may be necessary pending the decision of the appeal filed under sub-r.  (5) or sub-r.  (6).,Ruling by Present Court,0
347,"If the management imposes a punishment without making a reference to the Labour Commissioner and without obtaining his concurrence, the order of the management is a nullity and is liable to be set aside on this ground alone on an appeal by the Welfare Officer under sub-r.  (6).",Ruling by Present Court,0
348,"On the other hand, if the action of the management does not amount to a punishment, an appeal under sub-r.  (6) is incompetent and is liable to be dismissed on that ground.",Ruling by Present Court,0
349,"396 On an appeal under sub-r.  (6), the dispute is whether the action of the management amounts to a punishment and if so, whether the punishment should be imposed.",Ruling by Present Court,0
350,The dispute concerns the civil rights of the management and the Welfare Officer.,Ruling by Present Court,0
351,The State Government is empowered to decide this dispute between the two contending parties.,Ruling by Present Court,0
352,"Since the State Government is empowered to give a decision, it may either confirm the punishment or set it aside and pass consequential orders such as an order of reinstatement.",Ruling by Present Court,0
353,"As a matter of fact, in the instant case the State Government passed an order of reinstatement.",Ruling by Present Court,1
354,"By the express words of sub-r.  (6) of R.  6, the decision of the State Government is made final and binding.",Argument,1
355,The appellate decision conclusively determines the rights of the contending parties with regard to the matter in controversy between them.,Argument,0
356,The appellate function and the power of conclusive determination of the civil rights of the parties with regard to matters in controversy between them indicate that the State Government is under a duty to act judicially and to decide the dispute solely by ascertaining the facts on the materials before it and by the application of the relevant law on the point.,Argument,1
357,"As the rule does not prescribe any procedure for the hearing of the appeal, the State Government may devise its own procedure consistently with its judicial duty.",Argument,1
358,"Normally, the State Government has the advantage of enquiries with regard to the subject-matter of the dispute at two previous stages, videlicet , once by the management under sub-r.  (3) and again by the Labour Commissioner under sub-r.  (4).",Argument,0
359,"The State Government may also call upon the parties to make their representations in writing, at the appellate stage.",Argument,0
360,"As a matter of fact, in this case the parties were asked to make representations, and they did so.",Argument,0
361,"On ascertaining the relevant facts, the State Government may decide whether having regard to the relevant law, videlicet , the ordinary law of master and servant as modified by the industrial law, the action of the management amounts to a punishment, and if so, whether such punishment should be imposed.",Argument,0
362,"A consideration of all these matters shows that the State Government deciding an appeal under R.  6(6) of the Service Rules is vested with the judicial powers of the State, and satisfies the test of a tribunal as contemplated by article 136 of the Constitution.",Argument,0
363,"It follows that the preliminary objection that the appeal under article 136 does not lie, must be rejected.",Argument,0
364,"On the merits, the respondent has very little to say.",Argument,0
365,The management did not seek to impose any punishment on the Welfare Officer.,Argument,0
366,It did not hold any enquiry with regard to any charge against the respondent.,Argument,0
367,"Under the conditions of service, the 397 management was entitled to terminate the services of the respondent on payment of one month's salary in lieu of notice.",Argument,1
368,"In accordance with the conditions of service, the management terminated his employment.",Ratio of the decision,0
369,In no sense was this order of termination of employment a punishment within the meaning of sub-r.  (3) of R.  6 of the Service Rules.,Ratio of the decision,0
370,The order of the management did not entail any evil consequences to the respondent; it did not deprive him of any right to which he was entitled.,Ratio of the decision,0
371,"As the action of the management was not an order of punishment, the respondent was not entitled to appeal from this order to the State Government, nor was the State Government entitled to order his reinstatement.",Ratio of the decision,0
372,The appeal as also the order of the State Government passed on the appeal are both misconceived.,Ratio of the decision,1
373,"The appellate order is not only erroneous but also without jurisdiction, and is liable to be set aside.",Ratio of the decision,0
374,Appeal allowed.,Argument,0
